Txesca,Thu Apr 30 14:51:13 +0000 2015,RT @vedantawakeup: Our thoughts and prayers go out to the victims of this terrible disaster #PrayForNepal #NepalEarthquake #RescueNepal htt…
sajeelsud,Thu Apr 30 14:51:13 +0000 2015,RT @SpokespersonMoD: #NepalEarthquake IAF's MI-17 V5 bringing in much needed relief to Gorkha- ex Pokhara. http://t.co/PIH0myrnAg
khenglingg,Thu Apr 30 14:51:12 +0000 2015,RT @BBCWorld: Baby boy Sonit Awal was rescued 22 hours after #NepalEarthquake http://t.co/R7t3Xjepzc http://t.co/TNVGNEMbCu
krishna_1357,Thu Apr 30 14:51:12 +0000 2015,"RT @ANI_news: Water bottles/purifiers, blankets, tents, meds, dry food packets are being sent: Ajit Seth, Cab Secy #NepalEarthquake http://…"
nkumar_,Thu Apr 30 14:51:12 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
javed_tuba,Thu Apr 30 14:51:10 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
Irene680NEWS,Thu Apr 30 14:51:09 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
DayleCollins,Thu Apr 30 14:51:09 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
yukiemokuo,Thu Apr 30 14:51:09 +0000 2015,"RT @unicefusa: #NepalEarthquake Update: Over the past 48hrs, UNICEF has delivered 29 metric tons of humanitarian supplies to #Nepal http://…"
CandidCrowbar,Thu Apr 30 14:51:08 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
Txesca,Thu Apr 30 14:51:08 +0000 2015,RT @apsubedi: Please Call 1114 for APF सशस्त्र for search and rescue of victims needed #NepalEarthquake #rescuenepal
RiosJose559,Thu Apr 30 14:51:06 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
HanishaLalwani,Thu Apr 30 14:51:03 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
Pedal_India,Thu Apr 30 14:51:03 +0000 2015,RT @AnupKaphle: Among #NepalEarthquake survivors: Israeli gays and their surrogate babies. http://t.co/YZWYlF9Xcm
DDNewsHindi,Thu Apr 30 14:51:03 +0000 2015,भारतीय सेना नेपाल के दुर्गम इलाकों में हैलीकॉप्टर से राहत सामग्री पहुंचा रही है #IndiaWithNepal #NepalEarthquake http://t.co/bcfjfhYg76
debosses21,Thu Apr 30 14:51:02 +0000 2015,#NepalEarthquake
film58,Thu Apr 30 14:51:01 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
sajeelsud,Thu Apr 30 14:51:00 +0000 2015,RT @SpokespersonMoD: #NepalEarthquake Evacuees from Barpak-ex Pokhara. http://t.co/eUaQcOkU8C
LordGamblore,Thu Apr 30 14:51:00 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
rohithsoman096,Thu Apr 30 14:50:59 +0000 2015,RT @IndiaToday: #NepalEarthquake video: Everything destroyed in 40 seconds   http://t.co/k1hLyPCqzC http://t.co/BytY7CC7yD
michellelazar4,Thu Apr 30 14:50:58 +0000 2015,RT @BBCBreaking: Teenager rescued after surviving 120 hours under rubble following #NepalEarthquake http://t.co/Qi7m1zDAb0 http://t.co/G5lU…
Rjushrestha,Thu Apr 30 14:50:58 +0000 2015,"RT @smadixit: Channelizing of funds via only @Nepal_PM_Fund is not a bad idea. But, VERY STRONG mechanism to prevent #corruption reqd ! #Ne…"
juleslowes,Thu Apr 30 14:50:58 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
sushilsingh607,Thu Apr 30 14:50:57 +0000 2015,RT @SpokespersonMoD: #NepalEarthquake  A 'Langar ' team of Punjab will be flying in the wee hours tomorrow with equipment and ration to Kat…
decochangnoi,Thu Apr 30 14:50:56 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
sajeelsud,Thu Apr 30 14:50:56 +0000 2015,RT @SpokespersonMoD: #NepalEarthquake IAF's MI 17 V5 landing at Ramjatar with relief material. http://t.co/Bnh3gYhYLF
alojonel,Thu Apr 30 14:50:56 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
R15NA_ARS,Thu Apr 30 14:50:56 +0000 2015,RT @Krati_T08: 5500 people died in Nepal. Shocking numbers😞 sad nd shocked by this. Prayers with #NepalEarthquake victims nd their family. 😔
louisgigglesx,Thu Apr 30 14:50:56 +0000 2015,"RT @Louis_Tomlinson: Just donated @savechildrenuk #NepalEarthquake appeal. If you can too, go here http://t.co/NXBJftNl9m or text: DONATE5 …"
angiewinnington,Thu Apr 30 14:50:55 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
nikhilrshah,Thu Apr 30 14:50:54 +0000 2015,"RT @ZeeNews: #NepalEarthquake :Pakistan sends 'beef masala' to the hungry millions, food remains untouched
http://t.co/jtvlCnRkje http://t.…"
DisastersChart,Thu Apr 30 14:50:53 +0000 2015,"#WV3 damage assessment map of Bhaktapur, #Nepal on 27 April: http://t.co/jL7p2gU30a #NepalEarthquake http://t.co/WQBKHp3OUB"
marl13,Thu Apr 30 14:50:53 +0000 2015,RT @ANC_NF: A great turnout at the @ANC_NF Soup Fundraiser for earthquake relief efforts in Nepal. #NepalEarthquake http://t.co/phwLsTyfZF
meritkosberg,Thu Apr 30 14:50:53 +0000 2015,RT @BBCBreaking: Teenager rescued after surviving 120 hours under rubble following #NepalEarthquake http://t.co/Qi7m1zDAb0 http://t.co/G5lU…
lois_boyd,Thu Apr 30 14:50:52 +0000 2015,RT @savechildrenuk: Your support saves lives. Donate now to help us reach more children and families with vital supplies #NepalEarthquake h…
kristenhare,Thu Apr 30 14:50:51 +0000 2015,About 47 journalists now on the list of people reporting on the #NepalEarthquake https://t.co/msS7bogfJ4
pattyscetari,Thu Apr 30 14:50:51 +0000 2015,RT @BBCWorld: Baby boy Sonit Awal was rescued 22 hours after #NepalEarthquake http://t.co/R7t3Xjepzc http://t.co/TNVGNEMbCu
Sw8acha,Thu Apr 30 14:50:50 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
rajput_ck,Thu Apr 30 14:50:50 +0000 2015,RT @UNICEF: Around 1.7m children are now in urgent need of aid in areas worst-hit by #NepalEarthquake http://t.co/fHw3l3mLe2 http://t.co/Um…
PedroVilaVillar,Thu Apr 30 14:50:49 +0000 2015,RT @UNICEF_uk: Help children in danger in #Nepal. Text NEPAL to 70123 to donate £5. T&amp;Cs: http://t.co/bHLIQG7r29 #NepalEarthquake RT http:/…
mercycorps,Thu Apr 30 14:50:48 +0000 2015,"Aid agencies forced to turn to India for supplies, as help reaches remote areas http://t.co/dP2KVFhCZx via @IBTimesUK #Nepalearthquake"
AHappyFuture,Thu Apr 30 14:50:47 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
Maame__Serwaa,Thu Apr 30 14:50:47 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
AidaWyman,Thu Apr 30 14:50:46 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
KerryDevine,Thu Apr 30 14:50:45 +0000 2015,"RT @CastorAles: @PHammondMP BritNats stuck in #Lukla, #NepalEarthquake being pushed aside by others bribing officials, please help. @KerryD…"
Angry5p1c3,Thu Apr 30 14:50:45 +0000 2015,RT @BBCBreaking: Woman pulled alive from #NepalEarthquake rubble after more than 5 days trapped alongside bodies in Kathmandu http://t.co/S…
